#
# National Water Information System
# 2013/12/17
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	parm_nm	fxd_va	fxd_tx
00028	Analyzing agency	300.0	NAPD/NTN - Nat.Atmos.Deposition Program/Nat.Trends Network
00028	Analyzing agency	500.0	Department of Agriculture
00028	Analyzing agency	504.0	Agricultural Research Service
00028	Analyzing agency	520.0	Soil Conservation Service
00028	Analyzing agency	596.0	Forest Service
00028	Analyzing agency	600.0	Department of Commerce
00028	Analyzing agency	642.0	National Industrial Pollution Control Council
00028	Analyzing agency	648.0	National Oceanic and Atmospheric Administration
00028	Analyzing agency	655.0	National Bureau of Standards
00028	Analyzing agency	701.0	Air Force
00028	Analyzing agency	702.0	Army
00028	Analyzing agency	703.0	Marines
00028	Analyzing agency	704.0	Navy
00028	Analyzing agency	800.0	Department of Defense - Civil
00028	Analyzing agency	810.0	Corps of Engineers
00028	Analyzing agency	900.0	Department of Health, Education and Welfare
00028	Analyzing agency	910.0	Food and Drug Administration
00028	Analyzing agency	915.0	Environmental Health Service
00028	Analyzing agency	920.0	Fish & Wildlife Service
00028	Analyzing agency	930.0	National Institutes of Health
00028	Analyzing agency	1000.0	Department of the Interior
00028	Analyzing agency	1004.0	Bureau of Land Management
00028	Analyzing agency	1008.0	Bureau of Indian Affairs
00028	Analyzing agency	1016.0	Bureau of Outdoor Recreation
00028	Analyzing agency	1028.0	Geological Survey
00028	Analyzing agency	1032.0	Bureau of Mines
00028	Analyzing agency	1050.0	Bureau of Sport Fisheries and Wildlife
00028	Analyzing agency	1053.0	National Park Service
00028	Analyzing agency	1060.0	Bureau of Reclamation
00028	Analyzing agency	1062.0	Alaska Power Administration
00028	Analyzing agency	1064.0	Bonneville Power Administration
00028	Analyzing agency	1068.0	Southeastern Power Administration
00028	Analyzing agency	1072.0	Southwestern Power Administration
00028	Analyzing agency	1076.0	Office of Saline Water
00028	Analyzing agency	1800.0	Atomic Energy Commission
00028	Analyzing agency	2000.0	U.S. Environmental Protection Agency
00028	Analyzing agency	2010.0	USEPA, Reg. 1, New England Regional Laboratory, Lexington
00028	Analyzing agency	2020.0	USEPA, Region 2, Edison, New Jersey
00028	Analyzing agency	2100.0	Department of Transportation
